product_id,reference,nombre,slug,canonical_url
65,B49,Estuche Porta Lápiz de Bamboo,estuche-bambu-para-boligrafo,https://regalospremium.cl/regalos-corporativos-bambu/estuche-bambu-para-boligrafo.html
80,B80,Tarjetero de Bamboo,tarjetero-de-bamboo-b80,https://regalospremium.cl/tarjetero-de-bamboo-b80.html
95,L19,Bolígrafo de Madera,boligrafo-ejecutivo-madera-deluxe-waltz,https://regalospremium.cl/boligrafos-y-lapices-eco-publicitarios/boligrafo-ejecutivo-madera-deluxe-waltz.html
110,L118,Deluxe Lápiz Grafito Negro,lapiz-grafito-deluxe-madera-natural,https://regalospremium.cl/boligrafos-y-lapices-eco-publicitarios/lapiz-grafito-deluxe-madera-natural.html
128,E76,Bolsa Canvas Algodón SUSTENTA,bolsa-canvas-algodon-grande-340g-reutilizable,https://regalospremium.cl/bolsas-de-algodon-publicitarias/bolsa-canvas-algodon-grande-340g-reutilizable.html
151,E8,Mochila tipo Morral de TNT,morral-tnt-bolsas-publicitarias-polipropileno,https://regalospremium.cl/bolsas-de-tnt-publicitarias/morral-tnt-bolsas-publicitarias-polipropileno.html
231,C39,Audífonos Alámbricos «ROCK» Alta Fidelidad,audifonos-alambricos-rock-alta-fidelidad,https://regalospremium.cl/audio-publicitario/audifonos-alambricos-rock-alta-fidelidad.html
262,D39,Porta-Tablet «VERSA»,porta-tablet-versa-11-pulgadas,https://regalospremium.cl/promocionales-para-celular/porta-tablet-versa-11-pulgadas.html
293,M3,Mug Térmico Plástico 450cc,mug-termico-plastico-400cc,https://regalospremium.cl/mugs-ceramica-plastico-publicitarios/mug-termico-plastico-400cc.html
332,Y18,Termo de Sublimación 800,termo-sublimacion-800-acero-inoxidable,https://regalospremium.cl/botellas-metalicas-publicitarias/termo-sublimacion-800-acero-inoxidable.html
333,Y19,Tazón Alto Sublimación 296cc,taza-cafe-sublimacion-160cc-orca-coatings,https://regalospremium.cl/mugs-metalicos-publicitarios/taza-cafe-sublimacion-160cc-orca-coatings.html
334,Y27,Taza de Café Sublimación,taza-cafe-sublimacion-160cc-orca-coatings,https://regalospremium.cl/mugs-metalicos-publicitarios/taza-cafe-sublimacion-160cc-orca-coatings.html
362,N49,Cuaderno A5 Termo-PU con Cierre Magnético,cuaderno-a5-deluxe-cierre-magnetico,https://regalospremium.cl/cuaderno-a5-deluxe-cierre-magnetico.html
407,H1,Estrella Anti Stress,estrella-anti-stress-relax,https://regalospremium.cl/publicitarios-belleza-y-salud/estrella-anti-stress-relax.html
427,K11,Llavero Elegante de Metal y Eco-Cuero,llavero-elegante-de-metal-y-eco-cuero,https://regalospremium.cl/llaveros-cuero/llavero-elegante-de-metal-y-eco-cuero.html
436,H11,Delantal de BBQ con 3 Herramientas,delantal-bbq-pampa-3-herramientas,https://regalospremium.cl/herramientas-y-asado/delantal-bbq-pampa-3-herramientas.html
499,K1,Llavero LED de Bolsillo,llavero-led-de-bolsillo,https://regalospremium.cl/llaveros-promocionales/llavero-led-de-bolsillo.html
500,K7,Llavero Náutico Anti Stress,llavero-anti-stress-ovalado,https://regalospremium.cl/llaveros-promocionales/llavero-anti-stress-ovalado.html
579,G33,Cooler Gigante «ANTARTIC»,cooler-gigante-antartic-28-litros,https://regalospremium.cl/coolers-publicitarios/cooler-gigante-antartic-28-litros.html
