historical_url,normalized_url,status,keyword_keys,http_code,effective_url,live_status,error
https://regalospremium.cl/index.php?option=com_virtuemart&view=productdetails&virtuemart_product_id=266&virtuemart_category_id=20,https://regalospremium.cl/index.php?option=com_virtuemart&view=productdetails&virtuemart_product_id=266&virtuemart_category_id=20,LEGACY_VIRTUEMART,1,508,https://regalospremium.cl/index.php?option=com_virtuemart&view=productdetails&virtuemart_product_id=266&virtuemart_category_id=20,INCONCLUSIVE_SERVER_LOOP,Loop Detected
https://regalospremium.cl/lapices-ecologicos/,https://regalospremium.cl/lapices-ecologicos/,CURRENT_FORMAT,15,508,https://regalospremium.cl/lapices-ecologicos/,INCONCLUSIVE_SERVER_LOOP,Loop Detected
https://regalospremium.cl/publicitarios-belleza-y-salud/,https://regalospremium.cl/publicitarios-belleza-y-salud/,CURRENT_FORMAT,2,508,https://regalospremium.cl/publicitarios-belleza-y-salud/,INCONCLUSIVE_SERVER_LOOP,Loop Detected
https://regalospremium.cl/regalo-publicitario-antistress/,https://regalospremium.cl/regalo-publicitario-antistress/,CURRENT_FORMAT,32,508,https://regalospremium.cl/regalo-publicitario-antistress/,INCONCLUSIVE_SERVER_LOOP,Loop Detected
https://regalospremium.cl/regalos-ecologicos-premium/,https://regalospremium.cl/regalos-ecologicos-premium/,CURRENT_FORMAT,19,508,https://regalospremium.cl/regalos-ecologicos-premium/,INCONCLUSIVE_SERVER_LOOP,Loop Detected
https://regalospremium.cl/regalos-promocionales-tecnologicos/,https://regalospremium.cl/regalos-promocionales-tecnologicos/,CURRENT_FORMAT,1,508,https://regalospremium.cl/regalos-promocionales-tecnologicos/,INCONCLUSIVE_SERVER_LOOP,Loop Detected
https://regalospremium.cl/regalos-publicitarios-de-verano/frisbee-plastico.html,https://regalospremium.cl/regalos-publicitarios-de-verano/frisbee-plastico.html,CURRENT_FORMAT,1,508,https://regalospremium.cl/regalos-publicitarios-de-verano/frisbee-plastico.html,INCONCLUSIVE_SERVER_LOOP,Loop Detected
https://regalospremium.cl/regalos-publicitarios-ocio-y-pasatiempo/,https://regalospremium.cl/regalos-publicitarios-ocio-y-pasatiempo/,CURRENT_FORMAT,6,508,https://regalospremium.cl/regalos-publicitarios-ocio-y-pasatiempo/,INCONCLUSIVE_SERVER_LOOP,Loop Detected
https://regalospremium.cl/regalos-publicitarios-para-automovil/parasol-para-vehiculo.html,https://regalospremium.cl/regalos-publicitarios-para-automovil/parasol-para-vehiculo.html,CURRENT_FORMAT,3,508,https://regalospremium.cl/regalos-publicitarios-para-automovil/parasol-para-vehiculo.html,INCONCLUSIVE_SERVER_LOOP,Loop Detected
https://regalospremium.cl/tecnologicos/,https://regalospremium.cl/tecnologicos/,CURRENT_FORMAT,10,508,https://regalospremium.cl/tecnologicos/,INCONCLUSIVE_SERVER_LOOP,Loop Detected
https://regalospremium.cl/verano/,https://regalospremium.cl/verano/,CURRENT_FORMAT,86,508,https://regalospremium.cl/verano/,INCONCLUSIVE_SERVER_LOOP,Loop Detected
https://regalospremium.cl/verano/?page=2,https://regalospremium.cl/verano/?page=2,CURRENT_FORMAT,16,508,https://regalospremium.cl/verano/?page=2,INCONCLUSIVE_SERVER_LOOP,Loop Detected
https://www.regalospremium.cl,https://regalospremium.cl/,WWW_VARIANT,2,508,https://www.regalospremium.cl,INCONCLUSIVE_SERVER_LOOP,Loop Detected
https://regalospremium.cl/,https://regalospremium.cl/,CURRENT_FORMAT,240,200,https://regalospremium.cl/,LIVE,
https://regalospremium.cl/bamboohttps://regalospremium.cl/publicitarios-bamboo/,https://regalospremium.cl/bamboohttps://regalospremium.cl/publicitarios-bamboo/,CURRENT_FORMAT,1,200,https://regalospremium.cl/,LIVE,
https://regalospremium.cl/boligrafos-y-lapices-publicitarios/,https://regalospremium.cl/boligrafos-y-lapices-publicitarios/,CURRENT_FORMAT,256,200,https://regalospremium.cl/boligrafos-y-lapices-publicitarios/,LIVE,
https://regalospremium.cl/bolsas-publicitarias-con-logotipo/,https://regalospremium.cl/bolsas-publicitarias-con-logotipo/,CURRENT_FORMAT,244,200,https://regalospremium.cl/bolsas-publicitarias-con-logotipo/,LIVE,
https://regalospremium.cl/cotizar-llaveros-promocionales/,https://regalospremium.cl/cotizar-llaveros-promocionales/,CURRENT_FORMAT,141,200,https://regalospremium.cl/cotizar-llaveros-promocionales/,LIVE,
https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,CURRENT_FORMAT,132,200,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,LIVE,
https://regalospremium.cl/herramientas-y-asado/,https://regalospremium.cl/herramientas-y-asado/,CURRENT_FORMAT,135,200,https://regalospremium.cl/herramientas-y-asado/,LIVE,
https://regalospremium.cl/lanyards-e-identificacion-empresa/,https://regalospremium.cl/lanyards-e-identificacion-empresa/,CURRENT_FORMAT,85,200,https://regalospremium.cl/lanyards-e-identificacion-empresa/,LIVE,
https://regalospremium.cl/mugs-botellas-termos/,https://regalospremium.cl/mugs-botellas-termos/,CURRENT_FORMAT,425,200,https://regalospremium.cl/mugs-botellas-termos/,LIVE,
https://regalospremium.cl/publicitarios-bamboo/,https://regalospremium.cl/publicitarios-bamboo/,CURRENT_FORMAT,1,200,https://regalospremium.cl/publicitarios-bamboo/,LIVE,
https://www.regalospremium.cl/,https://regalospremium.cl/,WWW_VARIANT,349,200,https://regalospremium.cl/,LIVE,
https://regalospremium.cl/memorias-√,,INVALID,1,,,SKIP_INVALID,
https://regalospremium.cl/√,,INVALID,1,,,SKIP_INVALID,
