historical_url,normalized_url,status,keyword_keys
https://regalospremium.cl/mugs-botellas-termos/,https://regalospremium.cl/mugs-botellas-termos/,CURRENT_FORMAT,425
https://www.regalospremium.cl/,https://regalospremium.cl/,WWW_VARIANT,349
https://regalospremium.cl/boligrafos-y-lapices-publicitarios/,https://regalospremium.cl/boligrafos-y-lapices-publicitarios/,CURRENT_FORMAT,256
https://regalospremium.cl/bolsas-publicitarias-con-logotipo/,https://regalospremium.cl/bolsas-publicitarias-con-logotipo/,CURRENT_FORMAT,244
https://regalospremium.cl/,https://regalospremium.cl/,CURRENT_FORMAT,240
https://regalospremium.cl/cotizar-llaveros-promocionales/,https://regalospremium.cl/cotizar-llaveros-promocionales/,CURRENT_FORMAT,141
https://regalospremium.cl/herramientas-y-asado/,https://regalospremium.cl/herramientas-y-asado/,CURRENT_FORMAT,135
https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,https://regalospremium.cl/cuadernos-libretas-memo-set-publicitarios/,CURRENT_FORMAT,132
https://regalospremium.cl/verano/,https://regalospremium.cl/verano/,CURRENT_FORMAT,86
https://regalospremium.cl/lanyards-e-identificacion-empresa/,https://regalospremium.cl/lanyards-e-identificacion-empresa/,CURRENT_FORMAT,85
https://regalospremium.cl/power-bank-y-accesorios/,https://regalospremium.cl/power-bank-y-accesorios/,CURRENT_FORMAT,69
https://regalospremium.cl/mochilas/,https://regalospremium.cl/mochilas/,CURRENT_FORMAT,61
https://regalospremium.cl/pendrive-publicitario/,https://regalospremium.cl/pendrive-publicitario/,CURRENT_FORMAT,59
https://regalospremium.cl/bolsas-tnt/,https://regalospremium.cl/bolsas-tnt/,CURRENT_FORMAT,55
https://regalospremium.cl/audio/,https://regalospremium.cl/audio/,CURRENT_FORMAT,41
http://regalospremium.cl/index.php?option=com_virtuemart&view=category&virtuemart_category_id=18,https://regalospremium.cl/index.php?option=com_virtuemart&view=category&virtuemart_category_id=18,LEGACY_VIRTUEMART,38
https://regalospremium.cl/regalo-publicitario-antistress/,https://regalospremium.cl/regalo-publicitario-antistress/,CURRENT_FORMAT,32
